Reference document,Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage,Review (Marton),Review (Robin),Review (Henrik),,,,,,
"RISC-V ISM vol 1 (unpriv. ISA), 20191213

CV32E40P doc rev 46711ac","Section 2.8


Debug chapter",Enter DEBUG mode,EBREAK instruction,"Debug mode can be entered by executing the EBREAK or C.EBREAK instruction when dcsr.ebreakm = 1
cause = 1

40S, same is true for ""dcsr.ebreaku"".","Add EBREAK or/and C.EBREAK to arbitrary code
Verify that:
Core switches into debug mode.
Current PC must be saved to DPC
Cause of debug must be saved to DCSR (cause=1)
PC is updated to value on dm_haltaddr_i input
Core starts executing debug cod

Ensure exception routine is not enterred",Self Checking Test,Directed Self-Checking,Testcase,"Covered in DTC ""debug_test""",?,Are Lee's corner cases handled in this vplan?,?,,,,,,
,,,,,,Check against ISS,Constrained-Random,Functional Coverage,"
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_ebreak_execute_with_ebreakm
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_cebreak_execute_with_ebreakm
A  :uvmt_cv32_tb.u_debug_assert.a_enter_debug
A: uvmt_cv32_tb.u_debug_assert.dcsr_cause",?,Is Mike's gh issue handled in this vplan?,?,,,,,,
"RISC-V ISM vol 1 (unpriv. ISA), 20191213

CV32E40P doc rev 46711ac","Section 2.8


Debug chapter",Enter DEBUG mode,EBREAK instruction,"Debug mode can be entered by executing the EBREAK or C.EBREAK instruction when dcsr.ebreakm = 1
cause = 1

40S, same is true for ""dcsr.ebreaku"".
","Add EBREAK or/and C.EBREAK to arbitrary exception code
Verify that:
Core switches into debug mode.
PC of EBREAK instruction must be saved to DPC
Cause of debug must be saved to DCSR (cause=1)
PC is updated to value on dm_haltaddr_i input
Core starts executing debug code
Ensure exception routine is not entered",Self Checking Test,Directed Self-Checking,Testcase,"Covered in DTC ""debug_test""",?,Is the PMA overrule handled in this vplan?,?,,,,,,
,,,,,,Check against ISS,Constrained-Random,Functional Coverage,"N/A: Hard to detect that we are executing an exception handler.
Covered in debug_test with ISS enabled.
A: uvmt_cv32_tb.u_debug_assert.a_enter_debug
A: uvmt_cv32_tb.u_debug_assert.dcsr_cause",?,"Note: From OE about counters, ""vi burde også ha assert som sjekker at vi IKKE teller nå countinhibit, sleep, eller stopcount... de assertionene jeg har endre sjekker bare at de teller... vet du om vi har andre sjekker på dette?""",?,,,,,,
"RISC-V ISM vol 1 (unpriv. ISA), 20191213

CV32E40P doc rev 46711ac","Section 2.8


Debug chapter",Enter ebreak exception,EBREAK instruction,"Enter ebreak exception routine when calling EBREAK or C.EBREAK when dcsr.ebreakm == 0.

40S, same is true for ""dcsr.ebreaku"".","Add EBREAK or/and C.EBREAK to arbitrary code while ebreakm/u==0.

Verify that:
Core does not switch to debug mode, but exception routine is entered as normal.",Self Checking Test,Directed Self-Checking,Testcase,"Covered in DTC ""debug_test""",?,?,"""[ebreakm=1?]""",,,,,,
,,,,,,Check against ISS,Constrained-Random,Functional Coverage,"
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_ebreak_execute_without_ebreakm (ebreak_regular_nodebug)
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_cebreak_execute_without_ebreakm (cebreak_regular_nodebug)
A: uvmt_cv32_tb.u_debug_assert.a_ebreak_umode_exception
A: uvmt_cv32_tb.u_debug_assert.a.ebreak_mmode_exception",?,?,"""[ebreakm=1?]""",,,,,,
"RISC-V ISM vol 1 (unpriv. ISA), 20191213

CV32E40P doc rev 46711ac","Section 2.8


Debug chapter",Enter ebreak exception during single stepping,EBREAK instruction,"Enter ebreak exception routine when calling EBREAK or C.EBREAK when dcsr.ebreakm == 0.

40S, same is true for ""dcsr.ebreaku"".","Add EBREAK or/and C.EBREAK to arbitrary single stepping code

Verify that:
Core switches into debug mode.
DPC set to handler.
Debug cause must be step (unless something else happened simultaneously).
PC is updated to value on dm_haltaddr_i input
Core starts executing debug code
Ensure exception routine is not entered",Self Checking Test,Directed Self-Checking,Testcase,"Covered in DTC ""debug_test_known_miscompares""",?,?,"""[ebreakm=1?]""",,,,,,
,,,,,,Check against ISS,Constrained-Random,Functional Coverage,"
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_ebreak_execute_without_ebreakm (ebreak_step_nodebug)
CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_cebreak_execute_without_ebreakm (cebreak_step_nodebug)

A: uvmt_cv32_tb.u_debug_assert.a_ebreak_umode_exception
A: uvmt_cv32_tb.u_debug_assert.a.ebreak_mmode_exception",?,?,"""[ebreakm=1?]""",,,,,,
CV32E40P doc rev 46711ac,Debug chapter,Enter DEBUG mode,External debug event,"Debug mode can be entered by asserting the external signal debug_req_i
cause is set to = 3 (also see verification goal)","Assert debug_req_i while executing arbitrary code
Verify that:
Core switches into debug mode.
Current PC must be saved to DPC
Cause of debug must be saved to DCSR (cause=debugger(0x3))
PC is updated to value on dm_haltaddr_i input
Core starts executing debug code",Self Checking Test,Directed Self-Checking,Testcase,"Covered in DTC ""debug_test""",,,,,,,,,
,,,,,,Check against ISS,Constrained-Random,Functional Coverage,"CG: uvm_pkg.uvm_test_top.env.cov_model.debug_covg.cg_debug_mode_ext
A:   uvmt_cv32_tb.u_debug_assert.a_enter_debug
A:   uvmt_cv32_tb.u_debug_assert.a_dcsr_cause
A:   uvmt_cv32_tb.u_debug_assert.a_debug_mode_pc
A: uvmt_cv32_tb.u_debug_assert.a_dpc_dbg_haltreq
A: uvmt_cv32_tb.u_debug_assert.a_debug_req_taken",,,,,,,,,
