Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,High Priority?,Link to Coverage,Comment
N/A,Comments,SmepmpOverrule,"""smepmp"" features can overrule the ""privspec"" (e.g. locking). Both specs are included here, so be aware that certain vplan items are conditional.",N/A,N/A,N/A,N/A,No,N/A,
,,FunctionalCoverage,"Functional coverage should capture a broad set of possible state (could be compared with the checkers), to find crosses that this vplan might have overlooked.",N/A,N/A,N/A,N/A,No,N/A,
,,ImplementationChanges,"If test implementation gains new knowledge, then update this vplan when appropriate.",N/A,N/A,N/A,N/A,No,N/A,
,,TimeAllowance,"Some of the verification goals have a ""base level"" of checking plus optional tweaks. It is up to implementation to prioritize and potentially skip the extras.",N/A,N/A,N/A,N/A,No,N/A,
privspec,General,Configs,"The pmp must be tested in a wide range of configurations. That includes testing on both instruction-side and data-side, and it includes testing overlapping regions, non-overlaping, no regions, differing settings for overlapping regions, M-mode only, U-mode only, both M-mode and U-mode, etc, etc. Use functional coverage with plenty of crosses.","Run with different configs to test parameters in low/mid/high ranges and in combination with the other parameters, instantiate checking on both instruction-side and data-side.

Cover: see all relevant region overlap combinations and to see an exhaustive combination of block-level input combinations and functional-level states.",Other,"ENV capability, not specific test",Functional Coverage,No,COV: (SKIPPED),Skipped in favor of using realease-specific configs.
,,Smepmp,"Given 1) backwards-compatible reset values, and 2) no change in ""mseccfg"", then C) the PMP should be fully compatible with the privspec.","For all privspec-derived PMP assertions, check that they must hold as long as the two preconditions hold (i.e. must not be excusable/overridable by smepmp features).",Other,Other,N/A,No,(SKIPPED),Skipped in favor of considering the normal assertions good enough and using release-specific configs.
,,UmodeAlways,"""PMP checks are applied to all accesses whose effective privilege mode is S or U, including instruction fetches in S and U mode, data accesses in S and U mode when the MPRV bit in the mstatus register is clear, and data accesses in any mode when the MPRV bit in mstatus is set and the MPP field in mstatus contains S or U.""

Note: None of those scenarios should let an access bypass the pmp.","Set up the system to match each point in the listing, ensure that the pmp's decision matches all modelled expectations.

Cover: when none of the listed preconditions are active and the pmp's decision can disagree with the modelled expectations.",Assertion Check,Constrained-Random,Functional Coverage,High Priority,"A: uvmt_cv32e40s_tb.dut_wrap.cv32e40s_wrapper_i.rvfi_i.pmprvfi_assert_i.a_noloadstore_*

A: uvmt_cv32e40s_tb.dut_wrap.cv32e40s_wrapper_i.rvfi_i.pmprvfi_assert_i.a_noexec_*

COV: (SKIPPED)","(Same as for ""MmodeDeny"")

Cover is skipped because it is not essential, and we have equivalence checking of RTL vs model."
,,DefaultNone,"""PMP can grant permissions to S and U modes, which by default have none""","Given:
1) out of reset,
2) no extraordinary reset values,
3) no change to the pmp csrs.

Then:
U-mode has no access permissions. (I.e. always excepts.)",Assertion Check,"ENV capability, not specific test",Assertion Coverage,High Priority,"A: (SKIPPED).

DTC: cv32e40s/tests/programs/custom/pmp/","Skipped in favor of using realease-specific configs (which have ""extraordinary reset values"")."
,,DefaultFull,"""can revoke permissions from M-mode, which
by default has full permissions""","Check that, out of reset, given no extraordinary reset values, and given no change to the pmp csrs, then M-mode has full access permissions.",Assertion Check,"ENV capability, not specific test",Assertion Coverage,No,"A: (SKIPPED)

DTC: cv32e40s/tests/programs/custom/pmp/",Skipped in favor of the directed test and the entire test suite in general.
,Csrs,ResetRegisters,"""Writable PMP registers’ A and L fields are set to 0, unless the platform mandates a different reset value for some PMP registers’ A and L fields.""","Read the A and L values right after reset, ensure that the default reset values are 0.

Note: Should also be visible on rvfi without specifically using csr instructions.",Assertion Check,"ENV capability, not specific test",Assertion Coverage,No,"A: (SKIPPED)

DTC: cv32e40s/tests/programs/custom/pmp/","Skipped in favor of integration-level testing w/ release-specific configs, and the directed test."
