Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage
"CV32E40S User manual, 0.4.0",Security Alerts,alert_major_o ,"The alert_major_o signal shall be 1 for every cycle that the following critical security issues occur and persist:
register file ECC error
Hardened PC error
Hardened CSR error
Interface Integrity error","Verify that the alert_major_o is high for 1 cycle when the specified errors occur. 
Note: this should be logically impossible in formal, will likely require forcing core signals to provoke",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,,,"Verify that the alert_major_o is low in any non-error case.

This should be done by creating a scoreboard check/assert for no alerts, that can be explicitly configured off when doing xsecure checking. Also run through formal. This check is assumed but not mentioned for every feature in this plan",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,alert_minor_o,"A 1-cycle high pulse shall be generated on alert_minor_o for the following critical security issues:
See list in the User Manual, ""Security Alerts""",Verify that the alert_minor_o is high for 1 cycle when the specified errors occur. ,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,,,Verify that the alert_minor_o is low in any non-error case. Check similarly to alert_major_o,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,alert signals are glitchless,"Both alert signals shall be created in a glitchless manner, coming directly from flip flops",Verify the creation. Can be verified by finding the correct flop and asserting they are equal to output signal. This requirement might be better covered as core assert,,,,
,Data Independent Timing,configurable,Data independent timing is enabled by setting the dataindtiming bit in the cpuctrl CSR.,"Verify functionality is enabled/disabled by setting/clearing the bit

Might be just a coverage using other asserts from this section",Assertion Check,Constrained-Random,Functional Coverage,
,,Reset value: default off,Data independent timing shall be default disabled,Verify CSR value at reset,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Branch timing,"Branches shall take 3 cycles, independent of the branch being taken. 
Exception: branches to a non-word-aligned non-RVC instruction are allowed an extra cycle(4 cycles)",Verify execution time. Coverage needed to show more than one variation,Assertion Check,Constrained-Random,Functional Coverage,
,,DIV/REM timing,DIV/REM instructions shall always take 35 cycles,Verify execution time. Coverage needed to show more than one variation,Assertion Check,Constrained-Random,Functional Coverage,
,,timing exception,"Jumps, branches, and instruction fences to a non-word-aligned non-RVC instruction are allowed to take an extra cycle.",Keep in mind when verifying strict timing,N/A,N/A,N/A,
,Dummy Instruction Insertion,Overall consideration,,"Verifying the dummy inastructions will be complicated, as these are instructions that should be verified as such, without appearing on RVFI and the support of the ISS. Consider making these part of the RVFI subop interface.",N/A,N/A,N/A,
,,configurable,Dummy instructions are enabled via the rnddummy bit in the cpuctrl CSR.,"Verify functionality is enabled/disabled by setting/clearing the bit

Might be just a coverage using other asserts from this section",Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,The frequency of injected instructions is tuned via the rnddummyfreq bits in the cpuctrl CSR.,"Verify statistical occurrence of dummy instructions
End of simulation comparison of occurance, lower/upper limit",Assertion Check,Constrained-Random,Functional Coverage,
,,Reset value: default off,Dummy instructions shall be default disabled,Verify CSR value at reset,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,LFSRx CSR,"reset, read/write, ",Expand CSR test to include these,Check against RM,Directed Non-Self-Checking,Functional Coverage,
,,LFSRx lockup reset,reset to default,"Verify a lockup is detected (covered under alert_minor_o), and is reset to default",Assertion Check,Constrained-Random,Assertion Coverage,
,,Dummy instuctions inserted in IF stage,Dummy instruction insertion shall be performed in the IF stage.,"Detect the apperance of dummy instructions, and verify that they appear at IF

assert when random: opcode within (dummy)",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,"Opcodes picked randomly based on LFSR0, picked from add, mul, and, bltu",Dummy instructions shall be pseudo randomly generated based on LFSR0.,"Hard to verify. 
Ideas:
report dummy to SB(new agent) and verify random distribution
Set values in LFSR0 and check dummy picked(requires intimate knowledge of implementation)",Any/All,"ENV capability, not specific test",N/A,
,,BLTU dummy destination,"The dummy bltu shall, if taken, branch to the instruction that would have been executed if no dummy instruction had been inserted.","Verify that program always continues at the next instruction

Find a way to cover bltu insertion, and taken/not taken",Other,Constrained-Random,Functional Coverage,
,,"Source registers, destination register and data for dummy instructions",Source registers shall be picked randomly from x0-x31/x0-x15,"Verify statistical distribution of source registers for dummy instructions

verify by SB at end of test",Other,Other,Functional Coverage,
,,,Information from RS1 and RS2 shall be used to trigger pipeline stalls as normal,Verify apparently normal behaviour,Check against RM,Constrained-Random,Functional Coverage,
,,,Actual data operands used shall come from LFSR1 and LFSR2,Verify LFSRx used as operands,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,,Destination register shall be X0,Verify destination register for dummy instructions,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,MCYCLE performance counter updated as normal,Dummy instructions shall update MCYCLE as if they were normal instructions,Verify affect on MCYCLE ,Other,Constrained-Random,Functional Coverage,
,,MINSTRET performance counters shall not count the dummy instructions,Dummy instructions shall not affect MINSTRET counters,Verify no update of MINSTRET for dummy instructions,Check against RM,Constrained-Random,Functional Coverage,
,,read related CSRs,"cpuctrl, secureseed0, secureseed1 and secureseed2 shall return 0 upon a read.",Verify reads always return 0,Check against RM,Directed Non-Self-Checking,Functional Coverage,
,,related CSRs accessible by machine mode only,"cpuctrl, secureseed0, secureseed1 and secureseed2 shall be accessible in machine mode only",Verify machine mode only. Cross with user mode Vplan?,Check against RM,Directed Non-Self-Checking,Functional Coverage,
,Random Instruction for Hint,Configurable,Hint is enabled via the rndhint bit in the cpuctrl CSR.,"Verify functionality is enabled/disabled by setting/clearing the bit

Might be just a coverage using other asserts from this section",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Reset value: default off,Hint shall be default disabled,Verify CSR value at reset,Assertion Check,"ENV capability, not specific test",Assertion Coverage,
,,Random instruction selected like dummy instruction,generation shall be the same as for dummy instructions,Verify with Dummy Instruction verification,N/A,N/A,Functional Coverage,
,,retiring hint affects minstret,A retiring hint instruction (no matter if it is replaced by a random instruction or not) shall lead to a minstret increment,Verify minstret like normal,Check against RM,Constrained-Random,Functional Coverage,
,,Retiring hint appears as slt on RVFI,A retiring hint instruction (no matter if it is replaced by a random instruction or not) shall be reported on RVFI as slt,"verify no difference if hint replaced by random instruction

Cover insertion of replacement instruction",Check against RM,Constrained-Random,Functional Coverage,
,Register file ECC,Always on,Ecc checking shall always be enabled,Do not create any parameters or disables for checks for this feature,N/A,N/A,N/A,
,,Error detection,Detection of 1-bit and 2-bit errors per 32-bit register,"Assert that a mismatch between data and syndrome is detected for each register. Will likely require forcing of errors in rtl signals. Make sure all 0's and all 1's item below is covered.

Explore formal verification of all possible 1- and 2-bit errors",Assertion Check,"ENV capability, not specific test",Assertion Coverage,
