Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage,,,,,,,,,,,,,,,,,
CV32E40S User manual v1.0.0,Security Alerts,alert_major_o,"The alert_major_o signal shall be 1 for every cycle that the following critical security issues occur and persist: 1) Register file indicates an ECC error, 2) hardened PC error, 3) hardened CSR error, 4) non-associated instruction interface integrity (parity/checksum) error, 5) non associated data interface integrity (parity/checksum) error, 6) instruction parity/checksum fault, 7) store parity/checksum fault NMI, 8) load parity/checksum fault NMI, and 9) bus protocol error.",Verify that alert_major_o is high whenever the previously listed errors occur. Provoking the errors require inserting glitches. The assertions are covered in the following subsections,See subsections,See subsections,See subsections,A: see subsections,,,,,,,,,,,,,,,,,
,,alert_major_o,major_alert_o is zero when there are no error cases triggering major_alert_o,"Verify that alsert_major_o is 0 in non-error cases by assuming no glitches. This should be done by creating a scoreboard check/assert for no alerts, that can be explicitly configured off when doing xsecure checking. Also run through formal. This check is assumed but not mentioned for every feature in this plan. ",Assertion check,"ENV capability, not specific test",Assertion Coverage,A: a_xsecure_security_alert_major,,,,,,,,,,,,,,,,,
,,alert_minor_o,"A 1-cycle high pulse shall be generated on alert_minor_o for the following critical security issues:
See list in the User Manual, ""Security Alerts""",Verify that the alert_minor_o is high for 1 cycle when the specified errors occur. ,Assertion check,Constrained-Random,Assertion Coverage,"A: a_xsecure_security_alert_lfsr0_lockup, a_xsecure_security_alert_lfsr1_lockup, a_xsecure_security_alert_lfsr2_lockup, a_xsecure_security_alert_non_nmi_exceptions, a_xsecure_security_alert_nmi_no_integrity, a_xsecure_security_set_nmi_when_obi_data_error",,,,,,,,,,,,,,,,,
,,alert_minor_o,major_alert_o is zero when there are no error cases triggering major_alert_o,Verify that the alert_minor_o is low in any non-error case. Check similarly to alert_major_o,Assertion check,Constrained-Random,Assertion Coverage,A: a_xsecure_security_alert_minor_reasons,,,,,,,,,,,,,,,,,
,,alert signals are glitchless,"Both alert signals shall be created in a glitchless manner, coming directly from flip flops",Code inspection: check that there is no logic inbetween the flops alert major and minor signals and the core's outputted signals alert_major_o and alert_minor_o,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
,Data Independent Timing,Configurable,Data independent timing is enabled by setting the dataindtiming bit in the cpuctrl CSR.,Verify functionality is enabled/disabled by setting/clearing the bit,Coverage check,Constrained-Random,Functional coverage,"A: a_xsecure_dataindtiming_branch_timing_pc_hardening_disabled, a_xsecure_dataindtiming_branch_timing_pc_hardening_enabled, a_xsecure_dataindtiming_div_rem_timing. COV: c_xsecure_dataindtiming_branch_timing_off, c_xsecure_dataindtiming_core_div_rem_timing_off",,,,,,,,,,,,,,,,,
,,Reset value: default on,Data independent timing shall be default enabled,Verify CSR value at reset,Assertion check,"ENV capability, not specific test",Assertion Coverage,A:a_xsecure_dataindtiming_default_on,,,,,,,,,,,,,,,,,
,,Branch timing,"Branches shall take 3 cycles, independent of the branch being taken. Exception: branches to a non-word-aligned non-RVC instruction are allowed an extra cycle(4 cycles)","Verify execution time. Coverage needed to show more than one variation, with PC hardening enabled and disabled",Assertion check,Constrained-Random,Assertion Coverage,"A: a_xsecure_dataindtiming_branch_timing_pc_hardening_disabled,
a_xsecure_dataindtiming_branch_timing_pc_hardening_enabled",,,,,,,,,,,,,,,,,
,,DIV/REM timing,DIV/REM instructions shall always take 35 cycles,Verify execution time. Coverage needed to show more than one variation,Assertion check,Constrained-Random,Assertion Coverage,A: a_xsecure_dataindtiming_div_rem_timing,,,,,,,,,,,,,,,,,
,,Timing exception,"Jumps, branches, and instruction fences to a non-word-aligned non-RVC instruction are allowed to take an extra cycle.",Keep in mind when verifying strict timing,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
,Dummy Instruction Insertion,Overall consideration,,"Verifying the dummy instructions will be complicated, as these are instructions that should be verified as such, without appearing on RVFI and the support of the ISS. Consider making these part of the RVFI subop interface.",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
,,Configurable,Dummy instructions are enabled via the rnddummy bit in the cpuctrl CSR.,Verify functionality is enabled/disabled by setting/clearing the bit. Might be just a coverage using other asserts from this section,Assertion Check,Constrained-Random,Functional Coverage,A: a_xsecure_dummy_instr_dont_generated_dummy_instr_if_dummy_setting_is_off. COV: c_xsecure_dummy_instr_generated_dummy_instr_if_dummy_setting_is_on. ,,,,,,,,,,,,,,,,,
,,Configurable,The frequency of injected instructions is tuned via the rnddummyfreq bits in the cpuctrl CSR.,Verify that the injected instructions is tuned by the randdummyfreq bits.,Assertion Check,Constrained-Random,Assertion Coverage,"A: a_xsecure_dummy_instr_frequency_4,
a_xsecure_dummy_instr_frequency_8,
a_xsecure_dummy_instr_frequency_16,
a_xsecure_dummy_instr_frequency_32,
a_xsecure_dummy_instr_frequency_64.",,,,,,,,,,,,,,,,,
